name,category,tier,address,city,zip,phone,email,website,lat,lng,google_rating,google_review_count,business_status,google_maps_url,owner_name,business_structure,chain_affiliation,is_independent,data_source,last_verified,notes
Edenbrook of Greenwood Hill,nursing_home,1,420 Pulaski Drive,Pottsville,17901,(570) 622-9582,,edenbrookgreenwood.com,,,,,OPERATIONAL,,,,,,edenbrookgreenwood.com,2026-03-15,179-bed skilled nursing and rehabilitation
The Gardens at York Terrace,nursing_home,1,2401 West Market Street,Pottsville,17901,(570) 622-3982,,gardensyork.com,,,,,OPERATIONAL,,,,,,health.usnews.com,2026-03-15,80-bed Medicare Medicaid certified nursing and rehab center
Green Valley Skilled Nursing and Rehabilitation Center,nursing_home,1,1 Matthew Lane,Pottsville,17901,(570) 644-0489,,seniorhealthpa.com,,,,,OPERATIONAL,,,,,,republicanherald.com,2026-03-15,Skilled nursing and rehabilitation
Orwigsburg Center,nursing_home,1,1000 Orwigsburg Manor Drive,Orwigsburg,17961,(570) 366-2999,,orwigsburghc.com,,,,,OPERATIONAL,,,,,,orwigsburghc.com,2026-03-15,Medicare Medicaid certified SNF
Seton Manor Nursing and Rehabilitation Center,nursing_home,1,1000 Seton Drive,Orwigsburg,17961,(570) 366-0400,,setonmanorhc.com,,,,,OPERATIONAL,,,,,,health.usnews.com,2026-03-15,Skilled nursing and rehab Schuylkill Chamber member
Rosewood Rehabilitation and Nursing Center,nursing_home,1,401 University Drive,Schuylkill Haven,17972,(570) 385-0331,,rosewoodrehab.org,,,,,OPERATIONAL,,,,Yes,,rosewoodrehab.org,2026-03-15,142-bed SNF locally owned
Shenandoah Manor Nursing Center,nursing_home,1,101 East Washington Street,Shenandoah,17976,(570) 462-1908,,shenandoahseniorliving.com,,,,,OPERATIONAL,,,,,,seniorhousingnet.com,2026-03-15,Also includes personal care wing The Birches
Ridgeview Healthcare and Rehabilitation Center,nursing_home,1,200 Pennsylvania Avenue,Shenandoah,17976,(570) 462-1921,,ridgeviewhealthcare.com,,,,,OPERATIONAL,,,,,,health.usnews.com,2026-03-15,111-bed Medicare Medicaid certified SNF post-hospital and subacute
Broad Mountain Health and Rehabilitation Center,nursing_home,1,500 West Laurel Street,Frackville,17931,(570) 874-0696,,saberhealth.com,,,,,OPERATIONAL,,,,Saber Healthcare,,saberhealth.com,2026-03-15,129-bed Medicare Medicaid certified SNF
Tremont Health and Rehabilitation Center,nursing_home,1,44 Donaldson Road,Tremont,17981,(570) 695-3141,,saberhealth.com,,,3,,OPERATIONAL,,,,Saber Healthcare,,saberhealth.com,2026-03-15,Founded 1980 acquired by Saber Healthcare 2018
St Lukes Rehabilitation and Nursing Center,nursing_home,1,360 West Ruddle Street,Coaldale,18218,(570) 645-8208,,slhn.org,,,,,OPERATIONAL,,,,St Lukes,,slhn.org,2026-03-15,48-bed hospital-based SNF on Miners Campus
Greenwood Center for Nursing and Rehab,nursing_home,1,149 Lafayette Avenue,Tamaqua,18252,(570) 668-1775,,greenwoodcnr.com,,,,,OPERATIONAL,,,,,,greenwoodcnr.com,2026-03-15,150-bed SNF in Schuylkill County
Schuylkill Home Care,home_health,1,12 Saint John Street,Schuylkill Haven,17972,(570) 385-2818,,schhomecare.com,,,,,OPERATIONAL,,,,Yes,,schhomecare.com,2026-03-15,Est 1988 third-generation woman-owned licensed PA home care
Lehigh Valley Home Care Schuylkill,home_health,1,502 South Second Street Suite B,Saint Clair,17970,(570) 621-5050,,lvhn.org,,,,,OPERATIONAL,,,,LVHN,,lvhn.org,2026-03-15,Medicare Joint Commission certified skilled nursing PT OT ST
Blue Mountain Home Health Care Inc,home_health,1,1851 West End Avenue Suite A,Pottsville,17901,(570) 622-4444,,bmhhc.com,,,,,OPERATIONAL,,,,,,bmhhc.com,2026-03-15,Medicare certified JCAHO accredited skilled nursing and therapies
Advantage Home Health and Hospice,home_health,1,1502 Route 61 Highway South,Pottsville,17901,(570) 593-5921,,feeltheadvantage.com,,,,,OPERATIONAL,,,,,,feeltheadvantage.com,2026-03-15,Medicare certified since 2014 nursing PT OT ST also provides hospice
Kings Home Healthcare Inc,home_health,1,51 Ann Street,Pottsville,17901,(570) 875-1711,,,,,,,OPERATIONAL,,,,,,medicarelist.com,2026-03-15,Medicare-certified home health agency nursing and therapies
Family Care Home Health Agency LLC,home_health,1,809 West Market Street,Pottsville,17901,(570) 391-4100,,familycarehomehealthagency.com,,,,,OPERATIONAL,,,,,,familycarehomehealthagency.com,2026-03-15,Non-medical home care plus skilled nursing and therapies
Age In Place Home Care,home_health,1,500 North Centre Street Suite D104,Pottsville,17901,(888) 990-4555,,aiphc.com,,,,,OPERATIONAL,,,,,,aiphc.com,2026-03-15,Dementia programs companion care personal care transportation
Anthracite Home Health,home_health,1,545 North 3rd Street,Minersville,17954,(570) 544-3780,,,,,,,OPERATIONAL,,,,,,npiprofile.com,2026-03-15,Licensed PA home health agency
Comfort Keepers Pottsville,home_health,1,1074 PA Route 61,Pottsville,17901,(570) 621-2800,,comfortkeepers.com,,,,,OPERATIONAL,,,,Comfort Keepers,,comfortkeepers.com,2026-03-15,In-home senior care personal care and companionship
Independent Living Services Inc,home_health,1,726 Claremont Avenue Suite D,Tamaqua,18252,(570) 668-3267,,,,,,,OPERATIONAL,,,,Yes,,chamberofcommerce.com,2026-03-15,Non-medical personal care 25 plus years serving Schuylkill Carbon County
VNA Health System,home_health,1,21 West Independence Street,Shamokin,17872,(570) 648-8989,,vnahs.com,,,,,OPERATIONAL,,,,,,vnahs.com,2026-03-15,Skilled nursing home care hospice private duty serves Schuylkill County
Geisinger Home Health,home_health,1,1201B North Church Street Suite 403,Hazle Township,18202,(570) 450-4050,,geisinger.org,,,,,OPERATIONAL,,,,Geisinger,,geisinger.org,2026-03-15,Medicare-certified serves Schuylkill County nursing PT OT ST
Hospice of Central PA,hospice,1,401 Beechwood Avenue,Marlin,17951,(570) 628-2290,,hospiceofcentralpa.org,,,,,OPERATIONAL,,,,Yes,,hospiceofcentralpa.org,2026-03-15,Serves all Schuylkill County non-profit since 1979
Compassus Hospice and Palliative Care,hospice,1,500 Hawk Ridge Drive Suite 4,Hamburg,19526,(844) 720-9203,,compassus.com,,,,,OPERATIONAL,,,,Compassus,,compassus.com,2026-03-15,Serves Berks Lebanon and Schuylkill Counties
Advantage Hospice,hospice,1,1502 Route 61 Highway South,Pottsville,17901,(570) 593-5921,,feeltheadvantage.com,,,,,OPERATIONAL,,,,,,feeltheadvantage.com,2026-03-15,Also provides home health care in Pottsville area
Family Pillars Hospice,hospice,1,3910 Adler Place Suite 130,Bethlehem,18017,(610) 625-2025,,familypillarshospice.com,,,,,OPERATIONAL,,,,,,familypillarshospice.com,2026-03-15,Serves parts of Schuylkill County Carbon County border areas
Pottsville Senior Community Center,senior_center,1,201 North Centre Street,Pottsville,17901,(570) 628-3513,,diakon.org,,,,,OPERATIONAL,,,,,,diakon.org,2026-03-15,Ages 60 plus meals fitness social activities managed by Diakon
Mahanoy City Senior Community Center,senior_center,1,138 West Centre Street,Mahanoy City,17948,(570) 773-0738,,diakon.org,,,,,OPERATIONAL,,,,,,diakon.org,2026-03-15,Ages 60 plus meals social activities managed by Diakon
Schuylkill Haven Senior Community Center,senior_center,1,340 Haven Street,Schuylkill Haven,17972,(570) 385-5611,,diakon.org,,,,,OPERATIONAL,,,,,,diakon.org,2026-03-15,Ages 60 plus meals computer lab fitness managed by Diakon
Tremont Senior Community Center,senior_center,1,139 Clay Street,Tremont,17981,(570) 695-3500,,diakon.org,,,,,OPERATIONAL,,,,,,diakon.org,2026-03-15,Ages 60 plus meals and activities managed by Diakon
Avenues Eldergarten Adult Day Center,senior_center,1,2 Park Street,Pottsville,17901,(570) 622-7920,,avenuesofpa.org,,,,,OPERATIONAL,,,,,,schuylkillcountypa.gov,2026-03-15,Adult day program for older adults and those with disabilities
Tamaqua Area Adult Day Care Center,senior_center,1,801 East Broad Street,Tamaqua,18252,(570) 668-2248,,,,,,,OPERATIONAL,,,,Yes,,schuylkillcountypa.gov,2026-03-15,Non-profit adult day care Schuylkill County
Holy Family Adult Day Care,senior_center,1,900 West Market Street Suite 1,Orwigsburg,17961,(570) 366-2912,,,,,,,OPERATIONAL,,,,,,allentowndiocese.org,2026-03-15,Adult day care Roman Catholic Diocese of Allentown
LIFE Geisinger Minersville,senior_center,1,2 Lewis Street Suite 200,Minersville,17954,(570) 984-2051,,geisinger.org,,,,,OPERATIONAL,,,,Geisinger,,geisinger.org,2026-03-15,PACE Program serves Schuylkill County residents 55 plus
Schuylkill County Office of Senior Services,support_services,1,110 East Laurel Boulevard,Pottsville,17901,(570) 622-3103,,schuylkillcountypa.gov,,,,,OPERATIONAL,,,,,,schuylkillcountypa.gov,2026-03-15,Area Agency on Aging care management meals transportation legal
Diakon Community Services,support_services,1,2020 West Norwegian Street,Pottsville,17901,(570) 624-3010,,diakon.org,,,,,OPERATIONAL,,,,,,diakon.org,2026-03-15,Manages senior centers Meals on Wheels PA MEDI counseling
Law Offices of Anthony Urban PC,support_services,1,474 North Centre Street 3rd Floor,Pottsville,17901,(570) 622-1247,,urbanlaw.com,,,,,OPERATIONAL,,,,Yes,,urbanlaw.com,2026-03-15,Elder law estate planning Medicaid long-term care planning wills probate
AMS Elder Law Solutions,support_services,1,P.O. Box 1190,Pottsville,17901,(570) 205-7412,,amselderlaw.com,,,,,OPERATIONAL,,,,Yes,,amselderlaw.com,2026-03-15,Elder law Medicaid planning estate planning guardianships power of attorney
Law Office of Michael J OConnor,support_services,1,608 West Oak Street,Frackville,17931,(800) 518-4529,,,,,,,OPERATIONAL,,,,,,justia.com,2026-03-15,Elder law estate planning Social Security disability 36 plus years
American Surgical Supply Inc,support_services,1,347 Pottsville Saint Clair Highway,Pottsville,17901,(570) 622-8713,,,,,,,OPERATIONAL,,,,Yes,,yelp.com,2026-03-15,DME since 1951 wheelchairs scooters hospital beds oxygen stair lifts
